datetime,demand,renewable,solar,wind,price,hour,month,day_of_week,regime
2022-01-01 00:00:00,0.35483570765056166,0.21886131228604153,0.0,0.36476885381006924,0.48791095295986964,0,1,5,normal
2022-01-01 01:00:00,0.3182923312638332,0.27923971224360256,0.0,0.46539952040600424,0.41374598841648125,1,1,5,low_demand
2022-01-01 02:00:00,0.3065262807032524,0.17201375053334245,0.027128002179298234,0.2686042494360386,0.3783725275131106,2,1,5,low_demand
2022-01-01 03:00:00,0.3420981135783017,0.08994066718161496,0.0,0.14990111196935826,0.41595248017261777,3,1,5,low_demand
2022-01-01 04:00:00,0.2793584439832788,0.14968857406177374,0.015712366629763694,0.2390060456831138,0.32415746470634266,4,1,5,low_demand
2022-01-01 05:00:00,0.4032824384460777,0.20636108514082518,0.0,0.3439351419013753,0.3684954843701184,5,1,5,normal
2022-01-01 06:00:00,0.5127808637737409,0.13986134922361687,0.005546129485493305,0.2294048290490326,0.533216928037069,6,1,5,normal
2022-01-01 07:00:00,0.5099680655040598,0.18790564390110695,0.032374388056420664,0.29159314779756446,0.5912262488071447,7,1,5,normal
2022-01-01 08:00:00,0.5393251387631033,0.2798562841552798,0.03783242124944991,0.44120552609249974,0.42466350163641653,8,1,5,normal
2022-01-01 09:00:00,0.5504431797502378,0.15206675413046591,0.030311074074379316,0.23323720750119034,0.5394446254294354,9,1,5,normal
2022-01-01 10:00:00,0.6469233289997705,0.2831806432888805,0.1656965432705189,0.3615033766344549,0.5234522867337565,10,1,5,normal
2022-01-01 11:00:00,0.5360739004816286,0.25605329481866856,0.1392614453947172,0.3339145277679694,0.5440770731061595,11,1,5,normal
2022-01-01 12:00:00,0.6271809144784231,0.28882465790833595,0.09328392762635315,0.4191851447629911,0.5076889458458949,12,1,5,normal
2022-01-01 13:00:00,0.576153899984702,0.38026719484512295,0.205837470256496,0.4965536779042075,0.5205607974946241,13,1,5,normal
2022-01-01 14:00:00,0.568039123838868,0.3165428100515977,0.14166751041845968,0.43312634314035636,0.5378339752600726,14,1,5,normal
2022-01-01 15:00:00,0.5860412881077355,0.22506840331554961,0.11901163143517726,0.2957729179024645,0.46568979185516923,15,1,5,normal
2022-01-01 16:00:00,0.6506262911197099,0.306689787323129,0.15852996912578604,0.40546299945469105,0.5834828542575174,16,1,5,normal
2022-01-01 17:00:00,0.5930818012523816,0.27882339372565634,0.014703087815828339,0.4549035976655417,0.5897957108317924,17,1,5,normal
2022-01-01 18:00:00,0.5732086980445024,0.12892694309394348,0.07823218279070034,0.16272344996277222,0.5890213913128294,18,1,5,normal
2022-01-01 19:00:00,0.5793523534119085,0.26378013594550465,0.0,0.4396335599091744,0.4111636901922582,19,1,5,normal
2022-01-01 20:00:00,0.5640164056081244,0.35743662264723625,0.017855628575587323,0.5838239520283355,0.44886370509620893,20,1,5,normal
2022-01-01 21:00:00,0.5345753198553406,0.31977694080451013,0.0,0.5329615680075169,0.4877921331693014,21,1,5,normal
2022-01-01 22:00:00,0.30351198981164806,0.2840562262427287,0.025663371655667806,0.45631812930076926,0.4149713765596499,22,1,5,low_demand
2022-01-01 23:00:00,0.2948973453061324,0.2474301175895249,0.0,0.41238352931587485,0.3000438899696028,23,1,5,low_demand
2022-01-02 00:00:00,0.34480601385322884,0.279347690738309,0.013052763608994468,0.45687764215785204,0.3768693430363644,0,1,6,low_demand
2022-01-02 01:00:00,0.2592314628974793,0.255988862580394,0.0,0.4266481043006567,0.3127052092135405,1,1,6,low_demand
2022-01-02 02:00:00,0.32193571441669955,0.40040082412684197,0.020202542840726923,0.653866344984252,0.3495765006118891,2,1,6,low_demand
2022-01-02 03:00:00,0.3428775195361382,0.1664806309894516,0.0,0.2774677183157527,0.4201688766987728,3,1,6,low_demand
