week_end,year,week,ili_rate,regime,ili_lag1,ili_lag4,ili_ma4,ili_std4,ili_trend4
2010-01-30,2010,4,4.54664746949303,flu_peak,5.145770870946646,5.077761912302114,5.80042492579909,1.1378924256383862,-0.13277861070227082
2010-02-06,2010,5,3.703785185368013,flu_moderate,4.54664746949303,6.9318584275385815,4.993406615256448,1.2103773151470336,-0.8070183105426422
2010-02-13,2010,6,3.955884890708579,flu_peak,3.703785185368013,6.5774229352181,4.338022104129067,0.6440155102606469,-0.6553845111273802
2010-02-20,2010,7,5.0181571677997665,flu_peak,3.955884890708579,5.145770870946646,4.306118678342347,0.5916987557308071,-0.0319034257867199
2010-02-27,2010,8,3.534125091621755,flu_moderate,5.0181571677997665,4.54664746949303,4.052988083874528,0.6663687316951334,-0.2531305944678188
2010-03-06,2010,9,2.4702391457541077,flu_moderate,3.534125091621755,3.703785185368013,3.7446015739710523,1.054337776138355,-0.30838650990347627
2010-03-13,2010,10,2.5612007899364473,flu_moderate,2.4702391457541077,3.955884890708579,3.395930548778019,1.1838349095295584,-0.34867102519303295
2010-03-20,2010,11,2.798166068157324,flu_moderate,2.5612007899364473,5.0181571677997665,2.8409327738674084,0.48235821034740284,-0.5549977749106106
2010-03-27,2010,12,1.9753888251378737,flu_moderate,2.798166068157324,3.534125091621755,2.451248707246438,0.34604642267778934,-0.3896840666209703
2010-04-03,2010,13,2.4873178790411483,flu_moderate,1.9753888251378737,2.4702391457541077,2.4555183905681983,0.3464639507754768,0.004269683321760143
2010-04-10,2010,14,1.177300748057607,flu_low,2.4873178790411483,2.5612007899364473,2.109543380098488,0.7080462668903046,-0.3459750104697101
2010-04-17,2010,15,1.7658459820085837,flu_low,1.177300748057607,2.798166068157324,1.8514633585613032,0.5420621283732899,-0.25808002153718507
2010-04-24,2010,16,1.779571633348785,flu_low,1.7658459820085837,1.9753888251378737,1.802509060614031,0.5359474037588366,-0.048954297947272185
2010-05-01,2010,17,0.9099966974956487,off_season,1.779571633348785,2.4873178790411483,1.408178765227656,0.4348748984375075,-0.3943302953863749
